Species,Height,Diameter
Thatched,17,13
Thatched,21.3,20
Thatched,22.2,19.4
Thatched,14,17
Thatched,22,19
Thatched,24,26.1
Thatched,13.3,9
Thatched,17,14.4
Thatched,13.5,11.4
Thatched,23.3,16.3
Acorn,4.3,9
Acorn,6.5,10
Acorn,3.3,7
Acorn,3.1,4.9
Acorn,4.4,9
Acorn,2.7,5.5
Acorn,4.7,7
Acorn,4,8.2
Acorn,3.5,5.3
Acorn,2.8,4.4
Gooseneck,19.6,24.4
Gooseneck,11,13.4
Gooseneck,4.1,5.7
Gooseneck,3.8,5.9
Gooseneck,3.9,4.8
Gooseneck,3,4
Gooseneck,10.1,16
Gooseneck,6.5,9.6
Gooseneck,12.5,20.5
Gooseneck,6.4,9.7
Small acorn,1,4.3
Small acorn,1,2.4
Small acorn,1,4.6
Small acorn,1,3.4
Small acorn,1,3.2
Small acorn,1,5
Small acorn,1,2.2
Small acorn,1,3.5
Small acorn,1,4
Small acorn,1,2.4